iter	Passed	Remaining
0	7	7091
1	13	6914
2	19	6623
3	25	6420
4	32	6441
5	39	6476
6	45	6447
7	51	6370
8	57	6308
9	63	6264
10	69	6238
11	75	6195
12	81	6187
13	87	6183
14	94	6210
15	100	6204
16	107	6210
17	113	6214
18	120	6203
19	126	6194
20	132	6184
21	139	6183
22	145	6174
23	151	6150
24	157	6138
25	163	6130
26	170	6128
27	176	6123
28	181	6087
29	188	6086
30	194	6064
31	200	6065
32	206	6056
33	213	6057
34	219	6053
35	225	6028
36	230	6011
37	236	5998
38	242	5986
39	248	5953
40	253	5939
41	259	5929
42	266	5926
43	272	5913
44	279	5923
45	285	5922
46	291	5914
47	298	5923
48	304	5918
49	311	5923
50	317	5913
51	323	5904
52	330	5899
53	336	5895
54	342	5890
55	349	5889
56	355	5885
57	362	5884
58	366	5846
59	372	5839
60	378	5829
61	386	5846
62	391	5819
63	396	5795
64	402	5783
65	406	5748
66	410	5709
67	413	5665
68	417	5627
69	420	5586
70	424	5548
71	427	5508
72	430	5472
73	434	5437
74	437	5398
75	440	5356
76	443	5315
77	446	5275
78	449	5236
79	452	5199
80	455	5163
81	457	5126
82	460	5088
83	463	5053
84	466	5019
85	469	4985
86	471	4952
87	474	4918
88	477	4887
89	480	4857
90	483	4828
91	486	4799
92	489	4770
93	492	4743
94	495	4717
95	498	4693
96	501	4666
97	503	4632
98	506	4606
99	508	4580
100	511	4557
101	514	4530
102	517	4504
103	519	4479
104	522	4456
105	525	4433
106	528	4410
107	531	4388
108	534	4366
109	537	4345
110	540	4325
111	543	4306
112	546	4286
113	548	4266
114	551	4245
115	554	4225
116	557	4205
117	560	4186
118	563	4168
119	565	4150
120	568	4132
121	571	4114
122	574	4096
123	577	4078
124	580	4062
125	583	4044
126	586	4029
127	589	4013
128	592	3997
129	594	3977
130	597	3960
131	599	3944
132	602	3929
133	606	3916
134	609	3906
135	612	3890
136	615	3874
137	618	3860
138	620	3843
139	623	3831
140	626	3817
141	629	3803
142	632	3789
143	635	3779
144	638	3767
145	641	3755
146	644	3742
147	647	3729
148	650	3716
149	654	3707
150	657	3695
151	660	3682
152	662	3669
153	665	3656
154	668	3643
155	670	3628
156	673	3616
157	676	3604
158	679	3592
159	682	3581
160	685	3570
161	689	3564
162	692	3554
163	694	3542
164	697	3530
165	700	3520
166	703	3510
167	706	3499
168	709	3486
169	711	3475
170	714	3466
171	718	3456
172	721	3447
173	723	3436
174	726	3426
175	729	3416
176	732	3407
177	735	3397
178	738	3387
179	740	3374
180	743	3364
181	746	3354
182	749	3348
183	752	3338
184	755	3328
185	758	3317
186	760	3307
187	763	3297
188	766	3289
189	769	3280
190	772	3271
191	775	3262
192	778	3257
193	782	3252
194	785	3244
195	788	3235
196	791	3226
197	794	3218
198	797	3211
199	800	3203
200	802	3191
201	805	3182
202	808	3174
203	811	3165
204	814	3157
205	816	3148
206	819	3140
207	822	3132
208	825	3124
209	828	3116
210	830	3105
211	833	3097
212	835	3088
213	839	3081
214	842	3075
215	846	3072
216	849	3065
217	852	3058
218	855	3051
219	858	3043
220	861	3036
221	864	3028
222	866	3019
223	869	3011
224	871	3003
225	874	2994
226	876	2985
227	878	2976
228	881	2967
229	883	2958
230	885	2949
231	888	2940
232	890	2932
233	893	2923
234	895	2916
235	898	2907
236	900	2898
237	902	2890
238	905	2882
239	907	2873
240	909	2865
241	912	2857
242	914	2849
243	916	2840
244	919	2832
245	921	2824
246	924	2817
247	926	2808
248	928	2800
249	930	2792
250	933	2784
251	935	2777
252	937	2769
253	940	2761
254	942	2753
255	944	2746
256	947	2738
257	949	2730
258	951	2723
259	954	2716
260	956	2709
261	959	2701
262	961	2694
263	963	2687
264	966	2680
265	968	2672
266	971	2666
267	973	2659
268	975	2651
269	978	2644
270	980	2637
271	982	2629
272	984	2622
273	987	2615
274	989	2608
275	991	2601
276	994	2595
277	996	2588
278	999	2582
279	1001	2576
280	1004	2569
281	1006	2563
282	1009	2556
283	1011	2550
284	1013	2543
285	1016	2536
286	1018	2530
287	1020	2523
288	1023	2517
289	1025	2511
290	1028	2504
291	1030	2498
292	1032	2492
293	1035	2486
294	1037	2480
295	1040	2474
296	1042	2468
297	1045	2462
298	1047	2456
299	1050	2451
300	1053	2445
301	1055	2439
302	1057	2432
303	1059	2426
304	1062	2420
305	1064	2415
306	1067	2409
307	1069	2403
308	1072	2397
309	1074	2391
310	1076	2385
311	1079	2380
312	1081	2374
313	1084	2368
314	1086	2363
315	1088	2357
316	1091	2351
317	1094	2346
318	1096	2341
319	1099	2335
320	1101	2329
321	1103	2323
322	1106	2318
323	1108	2312
324	1111	2307
325	1113	2303
326	1116	2297
327	1118	2292
328	1120	2286
329	1123	2280
330	1125	2275
331	1128	2270
332	1130	2264
333	1132	2259
334	1135	2253
335	1137	2248
336	1140	2243
337	1142	2237
338	1144	2232
339	1147	2227
340	1150	2222
341	1152	2217
342	1155	2212
343	1157	2207
344	1160	2202
345	1163	2199
346	1165	2194
347	1168	2188
348	1170	2183
349	1172	2177
350	1174	2172
351	1177	2167
352	1179	2162
353	1182	2157
354	1184	2152
355	1186	2147
356	1189	2141
357	1191	2136
358	1193	2131
359	1196	2126
360	1198	2121
361	1200	2116
362	1203	2111
363	1205	2106
364	1207	2100
365	1210	2096
366	1212	2090
367	1214	2085
368	1216	2080
369	1219	2075
370	1221	2071
371	1224	2066
372	1226	2061
373	1229	2057
374	1231	2052
375	1233	2047
376	1236	2042
377	1238	2038
378	1240	2033
379	1243	2028
380	1245	2023
381	1247	2018
382	1250	2014
383	1252	2009
384	1255	2005
385	1257	2000
386	1259	1995
387	1261	1990
388	1264	1985
389	1266	1981
390	1268	1976
